,facility_code,facility_name,hospital_type,owner,no_of_beds,no_of_cots,no_of_icu_beds,open_24_hours,open_weekends,operational_status,art,c-imci,fp,hbc,ipd,"core_health_workforce_per_10,000_population",total_population,county,constituency,nearest_town
16,20956,AAR Health Care-Kisumu,Medical Clinic,Private Practice - General Practitioner,0,0,21.0,N,Y,Operational,N,N,N,N,N,22.6,1155574,kisumu,KISUMU TOWN EAST,Central Business District
17,18859,AAR Healthcare Limited (Karen),Medical Clinic,Private Enterprise (Institution),0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,LANG'ATA,Great Jubilee shopping  center
19,11194,AAR Medical Services (Docks),Medical Clinic,Private Enterprise (Institution),0,0,36.0,N,N,Operational,N,N,N,N,N,19.2,1208333,mombasa,MVITA,Mombasa
20,20140,AAR Mountain mall,Medical Clinic,Private Practice - Nurse / Midwife,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,ROYSAMBU,Rosters
21,14183,AAR Nakuru Clinic,Dispensary,Non-Governmental Organizations,0,0,19.0,N,Y,Operational,N,N,N,N,Y,19.3,2162202,nakuru,NAKURU TOWN,Nakuru Town
22,21224,AAR Outpatient Center Donholm,Medical Clinic,Private Practice - General Practitioner,4,2,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,EMBAKASI EAST,Donholm
23,20940,AAR Thika out Patient Centre,Medical Clinic,Private Practice - General Practitioner,0,0,19.0,N,Y,Operational,N,N,N,N,N,22.8,2417735,kiambu,JUJA,Wabera street opposite thika stadium zuri centre 3rd flooor
25,20320,African Muslim Agency- Matsangoni,Dispensary,Supreme Council for Kenya Muslims,0,0,0.0,Y,Y,Operational,N,N,N,N,N,10.0,1453787,kilifi,BAHARI,Matsangoni
26,12865,Afwan Medical Centre,Nursing Home,Private Enterprise (Institution),40,4,258.0,Y,Y,Operational,N,N,Y,N,Y,26.3,4397073,nairobi,KAMUKUNJI,Eastleigh
27,17335,Afwein Dispensary,Dispensary,Ministry of Health,0,0,6.0,Y,Y,Operational,N,N,N,N,N,10.0,841353,garissa,LAGDERA,Shantabak
28,19162,Afwene Clinic,Medical Clinic,Private Practice - Clinical Officer,0,0,6.0,N,Y,Operational,N,N,N,N,N,10.0,841353,garissa,DUJIS,0
29,17577,Afya Bora Clinic,Medical Clinic,Private Practice - General Practitioner,0,0,4.0,N,Y,Operational,N,N,N,N,N,22.3,610411,kirinyaga,MWEA,Ngurubani
30,11919,Afya Bora Clinic (Meru South),Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,N,Operational,N,N,Y,N,N,33.8,393177,tharakanithi,CHUKA IGAMBANGOMBE,Chuka Town
31,17819,Afya Bora Clinic (Mutomo),Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,N,Operational,N,N,N,N,N,14.9,1136187,kitui,KITUI SOUTH,Mutomo Town
32,10011,Afya Bora Clinic (Mwea),Medical Clinic,Private Enterprise (Institution),0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,MWEA,Kandondgu
33,19966,Afya Bora Clinic Karia,Medical Clinic,Private Practice - Nurse / Midwife,0,0,19.0,N,Y,Operational,N,N,N,N,N,22.8,2417735,kiambu,GITHUNGURI,Kiairia
34,19515,Afya Bora Health Care,Medical Clinic,Non-Governmental Organizations,12,1,258.0,Y,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
35,19794,Afya Bora Health Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,N,Operational,N,N,N,N,N,11.6,638289,nyandarua,OL KALOU,Kasuku
36,19662,Afya Bora Mc,Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,Y,Operational,N,N,N,N,N,7.5,990341,transnzoia,SABOTI,Kitale
37,16411,Afya Bora Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,19.0,N,N,Operational,N,N,Y,N,Y,19.3,2162202,nakuru,MOLO,Kianjoya
38,16491,Afya Bora Medical Clinic (CFW Clinic Gichugu),Medical Clinic,Private Practice - Nurse / Midwife,0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,GICHUGU,Gathoge
39,11200,Afya Bora Medical Clinic (Malindi),Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,Y,Y,Operational,N,N,Y,N,N,10.0,1453787,kilifi,MAGARINI,Malindi
40,21165,Afya Bora Medical Clinic (Mirangine),Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,Y,Operational,N,N,N,N,N,11.6,638289,nyandarua,OL KALOU,Mirangine
41,10007,Afya Bora Medical Clinic (Muchagara),Medical Clinic,Private Practice - Nurse / Midwife,0,0,4.0,N,N,Operational,N,N,Y,N,N,22.3,610411,kirinyaga,GICHUGU,Muchagara
42,10008,Afya Bora Medical Clinic (Nyeri South),Medical Clinic,Private Practice - Clinical Officer,0,0,14.0,N,Y,Operational,N,N,N,N,N,31.0,759164,nyeri,NYERI TOWN,Ruringu
43,14186,Afya Bora Medical Clinic (Turkana Central),Medical Clinic,Private Practice - Clinical Officer,0,0,0.0,N,Y,Operational,N,N,N,N,N,7.4,926976,turkana,TURKANA CENTRAL,Lodwar
44,19551,Afya Bora Medical Clinic (Westlands),Medical Clinic,Private Enterprise (Institution),1,0,258.0,N,N,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
45,11201,Afya Clinic,Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,Y,Operational,N,Y,N,N,N,19.1,340671,taitataveta,WUNDANYI,Wundanyi
46,14187,Afya Frank Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0,0,0.0,N,N,Operational,N,Y,Y,N,N,24.6,1117840,kajiado,KAJIADO NORTH,Ongata Rongai
47,18486,Afya Health Care,Dispensary,Private Enterprise (Institution),0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,ROYSAMBU,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats"
48,16294,Alnas Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,N,Operational,N,N,N,N,N,5.2,867457,mandera,MANDERA EAST,Mandera
49,19000,Alnasar Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,0,0,6.0,N,Y,Operational,N,N,N,N,N,10.0,841353,garissa,DUJIS,0
50,18067,Alpha Community Health Clinic (Migori),Medical Clinic,Private Practice - Nurse / Midwife,2,0,0.0,N,Y,Operational,N,N,N,N,N,11.3,1116436,migori,MIGORI,Oruba Estate Migori Town
51,19748,Alpha Dental Services,Dental Clinic,Private Practice - Medical Specialist,0,0,0.0,N,Y,Operational,N,N,N,N,N,7.5,990341,transnzoia,SABOTI,Kitale
52,10022,Alpha Family Health Care,Medical Clinic,Private Practice - Nurse / Midwife,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,TETU,Giakanja
53,19880,Alpha Medical Agency,Medical Clinic,Private Practice - Unspecified,0,0,0.0,N,N,Operational,N,N,N,N,N,12.2,590013,vihiga,SABATIA,Chavakali Market
54,16321,Alpha Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,0,0,0,N,Y,Operational,N,N,N,N,N,11.3,310327,samburu,SAMBURU WEST,Maralal Town
55,20992,Alpha Medical Clinic (Kambu),Medical Clinic,Private Practice - Clinical Officer,0,0,4.0,N,Y,Operational,N,N,N,N,N,13.2,987653,makueni,KIBWEZI,Kambu town
57,19040,Alpha Medical Clinic Mile Tisa,Medical Clinic,Private Practice - General Practitioner,0,0,0.0,N,Y,Operational,N,N,N,N,N,24.6,1117840,kajiado,KAJIADO CENTRAL,Mile Tisa
58,20929,Alpha Nursing Home,Medical Clinic,Private Enterprise (Institution),1,4,5.0,Y,Y,Operational,N,N,N,N,N,18.2,1421932,machakos,MASINGA,Kaewa
59,19356,Alphine Dental Centre (Kencom Hse),Dental Clinic,Private Practice - Unspecified,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,STAREHE,0
60,20831,Alphine Health Care Centre,Medical Clinic,Private Practice - Clinical Officer,0,0,23.0,N,Y,Operational,N,N,N,N,N,8.5,1670570,bungoma,KANDUYI,St. Damiano Hospital
61,21149,Alphond Medical Centre,Medical Clinic,Private Practice - Clinical Officer,3,0,9.0,N,Y,Operational,N,N,N,N,N,9.9,1867579,kakamega,MUMIAS,Nabongo
62,19461,Al-Ramah Healthcare,Medical Clinic,Private Practice - Nurse / Midwife,0,0,6.0,N,Y,Operational,N,N,N,N,N,10.0,841353,garissa,DUJIS,0
63,13287,Al-Siha Nursing Home,Nursing Home,Private Enterprise (Institution),0,0,0.0,N,N,Operational,N,Y,Y,N,Y,5.2,867457,mandera,MANDERA EAST,Mandera
64,13472,Alum Beach Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,14.2,1131950,homabay,KARACHUONYO,Kandiege Market
65,13473,Aluor Mission Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,0,0,0.0,Y,Y,Operational,Y,Y,Y,Y,Y,13.7,993183,siaya,GEM,Aluor Market
66,15795,Alupe Sub-District Hospital,Sub-District Hospital,Ministry of Health,130,0,0.0,Y,Y,Operational,Y,N,N,N,Y,11.9,893681,busia,AMAGORO,Busia
67,10023,Ama (Africa Muslim Agency) Clinic,Health Centre,Supreme Council for Kenya Muslims,26,6,19.0,N,N,Operational,N,N,Y,Y,Y,22.8,2417735,kiambu,JUJA,Thika
68,19215,Amaal Annex Nursing,Nursing Home,Private Practice - Nurse / Midwife,8,0,0.0,Y,Y,Operational,N,N,N,N,N,5.2,867457,mandera,MANDERA EAST,central
69,15796,Amagoro Nursing Home,Nursing Home,Private Enterprise (Institution),7,0,0.0,N,N,Operational,N,N,N,N,N,11.9,893681,busia,AMAGORO,Amagoro
70,20684,Amaiga Dispensary (Manga),Dispensary,Ministry of Health,2,2,0.0,N,N,Operational,N,N,N,N,N,14.1,605576,nyamira,KITUTU MASABA,Kenyenya Market
71,14198,Amakuriat Dispensary,Dispensary,Other Faith Based,0,0,0.0,N,N,Operational,N,N,Y,Y,Y,9.3,621241,westpokot,KACHELIBA,Makutano
72,16308,Amal Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,N,Operational,N,N,N,N,N,5.2,867457,mandera,MANDERA EAST,Mandera
73,20213,Amalya Medical Centre,Medical Clinic,Private Practice - Clinical Officer,0,0,19.0,N,Y,Operational,N,N,N,N,N,22.8,2417735,kiambu,KABETE,Gitaru
75,18610,Atela Dispensary,Dispensary,Ministry of Health,0,6,0.0,N,N,Operational,N,N,N,N,N,14.2,1131950,homabay,KASIPUL/KABONDO,Near Chabera Market
76,13489,Atemo Health Centre,Health Centre,Christian Health Association of Kenya,10,1,0.0,N,N,Operational,N,N,Y,N,Y,14.2,1131950,homabay,KASIPUL/KABONDO,Ringa Market
77,18169,Athi Complex Community Centre,Nursing Home,Private Practice - General Practitioner,10,0,5.0,N,N,Operational,N,N,N,N,N,18.2,1421932,machakos,KATHIANI,Athi River Town
78,10041,Athi Dispensary,Dispensary,Ministry of Health,0,0,19.0,N,N,Operational,N,N,Y,N,Y,22.8,2417735,kiambu,JUJA,Jujafarm
79,11934,Athi Kamunyuni Dispensary,Dispensary,Ministry of Health,2,0,4.0,N,N,Operational,N,N,Y,Y,Y,13.2,987653,makueni,KIBWEZI,Kambu
80,11935,Athi River Community Hospital,Medical Clinic,Private Enterprise (Institution),10,0,5.0,Y,Y,Operational,N,Y,Y,Y,Y,18.2,1421932,machakos,KATHIANI,Makadara
81,11936,Athi River Health Centre,Health Centre,Ministry of Health,6,4,5.0,Y,Y,Operational,Y,Y,Y,Y,Y,18.2,1421932,machakos,KATHIANI,Mavoko
82,11937,Athi River Medical Services,Maternity Home,Private Enterprise (Institution),26,0,5.0,Y,Y,Operational,N,Y,Y,Y,Y,18.2,1421932,machakos,KATHIANI,Makadara
83,13295,Athibohol Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,Y,Y,6.1,781263,wajir,WAJIR WEST,Griftu
84,19185,Athirunjine Runjine Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,Y,Operational,N,N,N,N,N,18.6,1545714,meru,NTONYIRI,Antubetwe Market
85,14220,Atiar Dispensary,Dispensary,Community,0,0,0.0,N,N,Operational,N,N,Y,Y,N,10.6,666763,baringo,BARINGO NORTH,Kabartonjo
86,10042,Atlas Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,OTHAYA,Othaya Town
87,16866,Avarende Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,9.0,N,N,Operational,N,N,N,N,N,9.9,1867579,kakamega,LURAMBI,Sichirai Mkt
88,16531,Avenue Health Care,Medical Clinic,Private Enterprise (Institution),0,0,36.0,N,N,Operational,N,N,Y,Y,Y,19.2,1208333,mombasa,MVITA,Mombasa
89,19462,Avenue Health Care (Makadara),Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,N,Operational,N,N,N,N,N,26.3,4397073,nairobi,MAKADARA,Lungalunga
90,13490,Avenue Health Care Clinic,Medical Clinic,Private Enterprise (Institution),0,0,21.0,N,N,Operational,N,N,Y,Y,Y,22.6,1155574,kisumu,KISUMU TOWN EAST,Kisumu
91,18817,Avenue Health Care Nakuru,Medical Clinic,Private Practice - General Practitioner,0,0,19.0,N,Y,Operational,N,N,N,N,N,19.3,2162202,nakuru,NAKURU TOWN,Central Town
92,19083,Avenue Health Care Ongata Rongai,Medical Clinic,Private Practice - General Practitioner,0,0,0.0,Y,Y,Operational,N,N,N,N,N,24.6,1117840,kajiado,KAJIADO NORTH,Ongata Rongai
93,20628,Avenue Healthcare Thika,Medical Clinic,Private Practice - General Practitioner,0,0,19.0,N,Y,Operational,N,N,N,N,N,22.8,2417735,kiambu,JUJA,Thika town
94,12874,Avenue Hospital,Other Hospital,Private Enterprise (Institution),65,10,258.0,Y,Y,Operational,N,Y,Y,Y,Y,26.3,4397073,nairobi,WESTLANDS,Nairobi
95,20123,Avenue Hospital Kisumu,Other Hospital,Private Enterprise (Institution),70,6,21.0,Y,Y,Operational,N,N,N,N,N,22.6,1155574,kisumu,KISUMU TOWN EAST,Kibuye Market-Kisumu Kakamega Road
96,13491,Awasi Mission Health Center,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,12,1,21.0,N,N,Operational,Y,Y,N,Y,Y,22.6,1155574,kisumu,NYANDO,Awasi
97,18081,Awendo Jiwdendi,VCT Centre (Stand-Alone),Non-Governmental Organizations,0,0,0.0,N,N,Operational,N,N,N,N,N,11.3,1116436,migori,RONGO,Within Awendo Town
98,13492,Awendo Sub-District Hospital,Sub-District Hospital,Ministry of Health,35,0,0.0,N,N,Operational,Y,Y,Y,Y,Y,11.3,1116436,migori,RONGO,Awendo
99,14228,Baragoi Sub-District Hospital,Sub-District Hospital,Ministry of Health,30,1,0,Y,Y,Operational,Y,Y,Y,Y,Y,11.3,310327,samburu,SAMBURU WEST,Baragoi
100,11942,Baragu Health Centre,Health Centre,Ministry of Health,5,2,0.0,Y,Y,Operational,N,Y,Y,Y,Y,33.8,393177,tharakanithi,CHUKA IGAMBANGOMBE,Chogoria
102,11943,Baraka Afya Clinic,Medical Clinic,Private Enterprise (Institution),0,0,5.0,N,N,Operational,N,N,N,N,N,21.2,608599,embu,MANYATTA,Ena
104,18915,Baraka Dental Clinic (Maara),Medical Clinic,Private Practice - Medical Specialist,0,0,0.0,N,Y,Operational,N,N,N,N,N,33.8,393177,tharakanithi,MAARA,Chogoria
105,12881,Baraka Dispensary (Nairobi),Dispensary,Private Enterprise (Institution),0,0,258.0,N,N,Operational,Y,N,N,N,N,26.3,4397073,nairobi,RUARAKA,Nairobi
106,17757,Baraka Health Centre,Health Centre,Non-Governmental Organizations,2,0,6.0,N,N,Operational,N,N,N,N,N,6.1,1157873,narok,NAROK SOUTH,Mulot
107,14230,Baraka Maternity Home,Maternity Home,Private Enterprise (Institution),25,12,19.0,Y,Y,Operational,N,Y,Y,Y,Y,19.3,2162202,nakuru,NAKURU TOWN,Nakuru Town
108,19529,Baraka Medical Cenre,Medical Clinic,Private Practice - Medical Specialist,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
110,17426,Baraka Medical Clinic,Medical Clinic,Other Public Institution,0,0,55.0,N,N,Operational,N,N,N,N,N,28.2,1163186,uasingishu,ELDORET SOUTH,Eldoret
111,19840,Baraka Medical Clinic (Kirinyaga),Medical Clinic,Private Practice - Nurse / Midwife,0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,MWEA,0
112,16202,Baraka Medical Clinic (Lamu),Medical Clinic,Private Practice - Clinical Officer,0,0,0.0,N,Y,Operational,N,N,N,N,N,24.6,143920,lamu,LAMU EAST,Mpeketoni
113,19306,Baraka Medical Clinic (Makindu),Medical Clinic,Private Practice - Clinical Officer,0,0,4.0,N,Y,Operational,N,N,N,N,N,13.2,987653,makueni,KIBWEZI,Makindu
114,20260,Baraka Medical Clinic (Mbitini),Medical Centre,Private Practice - Nurse / Midwife,4,0,0.0,N,Y,Operational,N,N,N,N,N,14.9,1136187,kitui,KITUI CENTRAL,Mbitini
115,10047,Baraka Medical Clinic (Muranga North),Medical Clinic,Private Practice - Nurse / Midwife,0,0,4.0,N,N,Operational,N,N,N,N,N,17.068633206144384,1056640,murang'a,KIHARU,Muranga
116,14229,Baraka Medical Clinic (Pokot Central),Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,Y,Operational,N,N,N,N,N,9.3,621241,westpokot,SIGOR,Ortum
117,17882,Baraka Medical Clinic (Runyenjes),Medical Clinic,Private Practice - Nurse / Midwife,0,0,5.0,N,N,Operational,N,N,N,N,N,21.2,608599,embu,RUNYENJES,0
118,16670,Baraka Medical Clinic (Samburu East),Medical Clinic,Private Practice - Clinical Officer,0,0,0,N,N,Operational,N,N,Y,N,N,11.3,310327,samburu,SAMBURU EAST,Wamba
119,16693,Baraka Medical Clinic (Trans Nzoia East),Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,N,Operational,N,N,N,N,N,7.5,990341,transnzoia,CHERANGANI,Kitale
120,14231,Baraka Medical Clinic (Turkana Central),Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,Y,Operational,N,N,N,N,N,7.4,926976,turkana,TURKANA CENTRAL,Lodwar
121,11245,Baraka Medical Clinic (Vikwatani),Medical Clinic,Private Enterprise (Institution),0,0,36.0,N,Y,Operational,N,N,Y,N,Y,19.2,1208333,mombasa,KISAUNI,Vikwatani
122,18224,Baraka Medical Clinic Kitengela,Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,N,Operational,N,N,N,N,N,24.6,1117840,kajiado,KAJIADO NORTH,Kitengela
123,17027,Sitatunga Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,7.5,990341,transnzoia,CHERANGANI,Kitale
124,15597,Sitoi Tea Dispensary,Dispensary,Company Medical Service,0,0,0.0,Y,Y,Operational,N,Y,Y,Y,Y,8.8,885711,nandi,TINDERET,Nandi Hills
126,11799,Siu Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,Y,Y,24.6,143920,lamu,LAMU EAST,Siu
128,16147,Sivilie Dispensary,Dispensary,Ministry of Health,0,0,9.0,N,N,Operational,N,Y,Y,Y,Y,9.9,1867579,kakamega,LURAMBI,Navakholo Mkt
129,17536,Siwadhe Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0,0,0.0,N,Y,Operational,N,N,N,N,N,13.7,993183,siaya,ALEGO,Siaya Town
130,15598,Siwo Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,Y,Y,Y,Y,8.8,885711,nandi,TINDERET,Nandi Hills
131,15599,Siyiapei (AIC) Dispensary,Dispensary,Christian Health Association of Kenya,3,0,6.0,N,N,Operational,N,N,Y,N,Y,6.1,1157873,narok,NAROK NORTH,Narok
132,11775,Skans Health Care Centre,Nursing Home,Private Practice - Unspecified,9,0,36.0,Y,Y,Operational,N,Y,Y,Y,Y,19.2,1208333,mombasa,KISAUNI,Mombasa
134,17959,Sky Way Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,6.0,N,N,Operational,N,N,N,N,N,18.6,1545714,meru,SOUTH IMENTI,Kionyo Market
135,18622,Skyhill Medical Centre,Health Centre,Private Practice - Medical Specialist,10,2,258.0,Y,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,DAGORETTI NORTH,Stage 2
136,19639,Skylit Medical Clinic,Medical Clinic,Private Enterprise (Institution),3,1,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,KAMUKUNJI,Garissa Lodge
137,18000,Skymed Medical Clinic Githunguri,Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,KASARANI,Utawala Shopping Centre
138,11800,Sloam Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,N,Operational,N,N,Y,N,N,24.6,143920,lamu,LAMU WEST,Mpeketoni
139,11014,Slope Optician,Eye Centre,Private Enterprise (Institution),0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,NDIA,Kagio
140,18717,Slopes Medical Clinic,Medical Clinic,Private Practice - Unspecified,0,0,6.0,N,N,Operational,N,N,N,N,N,18.6,1545714,meru,NORTH IMENTI,Timau Market
141,19994,Slum Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,KIBRA,0
142,19552,Smiles Medical Centre,Medical Clinic,Private Enterprise (Institution),0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
145,15601,Soba River Health Centre,Health Centre,Ministry of Health,3,0,0.0,Y,Y,Operational,N,N,Y,Y,Y,8.8,885711,nandi,TINDERET,Nandi Hills
146,18634,Soceno Pharmacy,Medical Clinic,Private Enterprise (Institution),0,0,6.0,N,Y,Operational,N,N,N,N,N,18.6,1545714,meru,NORTH IMENTI,Meru Town
147,15602,Sochoi (AIC) Dispensary,Dispensary,Other Faith Based,0,0,0.0,N,N,Operational,N,Y,Y,Y,Y,8.8,885711,nandi,TINDERET,Nandi Hills
148,15603,Sochoi Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,Y,Y,Y,Y,8.8,885711,nandi,TINDERET,Nandi Hills
149,19393,Social Service League (Nairobi ),Dispensary,Private Enterprise (Institution),0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,STAREHE,Bus station
150,18045,Soget Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,N,N,N,6.1,1157873,narok,KILGORIS,Murgan Market
151,15604,Sogon Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,10.6,666763,baringo,BARINGO CENTRAL,Kabarnet
152,15605,Sogoo Health Centre,Health Centre,Ministry of Health,0,12,6.0,N,N,Operational,Y,Y,N,Y,N,6.1,1157873,narok,NAROK SOUTH,Ololulunga
153,19331,Soin Health Care - Mfangano Street),Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,STAREHE,City Market
154,14095,Soklo Dispensary,Dispensary,Ministry of Health,4,0,0.0,N,N,Operational,Y,N,Y,Y,Y,14.2,1131950,homabay,MBITA,Sena
155,17187,Soko Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,19.0,N,Y,Operational,N,N,N,N,N,22.8,2417735,kiambu,LARI,Soko Mjinga Market
156,11802,Sokoke Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,10.0,1453787,kilifi,GANZE,Vitenegeni
157,11803,Sokoke Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,N,Operational,N,N,Y,N,N,10.0,1453787,kilifi,GANZE,Sokoke
158,13188,Sokoni Arcade VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,0,0,258.0,N,N,Operational,N,N,N,Y,N,26.3,4397073,nairobi,DAGORETTI NORTH,Nairobi
159,18049,Soldier,Medical Clinic,Private Practice - Clinical Officer,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,KIENI,chaka
